"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol","absLFC"
"ENSG00000227591.5",177.449255962714,-4.85853418578989,0.460388201555633,3.13559081620335e-27,2.65471012120113e-25,"HSD11B1-AS1",4.85853418578989
"ENSG00000134339.9",1763.35398280481,-4.85711743863329,0.457285559386787,1.32551268121068e-27,1.17014472289169e-25,"SAA2",4.85711743863329
"ENSG00000269993.1",0.825668658152329,-4.85700267107037,1.38507959841466,1.42833281298971e-05,6.9616161570084e-05,"KC877982.1",4.85700267107037
"ENSG00000170419.11",1228.65496162457,4.85275725761696,0.981818140740878,3.64927712884852e-08,2.83260625824314e-07,"VSTM2A",4.85275725761696
"ENSG00000170091.11",17.7054550897481,4.84867206184753,0.454654094773839,4.20389986418179e-13,6.93599337524222e-12,"NSG2",4.84867206184753
"ENSG00000243064.8",69.8118849091236,4.84773535611111,0.64678440892201,3.77884615653813e-15,8.15649408865077e-14,"ABCC13",4.84773535611111
"ENSG00000124493.14",174.538913262755,4.83924854932066,0.451707001142706,5.50285378868548e-28,5.05079692137197e-26,"GRM4",4.83924854932066
"ENSG00000134962.7",1356.30041322996,-4.8383049584637,0.448980328507345,2.61761877583305e-28,2.48382937173492e-26,"KLB",4.8383049584637
"ENSG00000175445.17",27426.0616517973,-4.83737495405202,0.408318740088651,1.31240840792536e-33,2.31195748416771e-31,"LPL",4.83737495405202
"ENSG00000198054.12",0.907034318176165,4.83735168172605,1.38095898727312,0.0138318840959773,0.0329076874289228,"DSCR8",4.83735168172605
"ENSG00000016602.9",122.26195502588,-4.83673732255809,0.494914596375251,1.07418468020798e-23,5.96863804487841e-22,"CLCA4",4.83673732255809
"ENSG00000248339.1",2.91161397041324,-4.83224307000986,0.869163801280674,1.08196624871653e-10,1.26087102090122e-09,"LINC02504",4.83224307000986
"ENSG00000172987.13",263.88480217508,-4.83029854603002,0.319212519975953,8.08941245240945e-53,1.51325942276406e-49,"HPSE2",4.83029854603002
"ENSG00000165566.12",7.67251741054642,4.82682761941728,0.875324527682179,1.02179580115977e-05,5.1153595326571e-05,"AMER2",4.82682761941728
"ENSG00000256394.3",1.96790172149385,4.82239506697184,1.59191931497393,0.000340536038741674,0.00124396668643555,"ASIC5",4.82239506697184
"ENSG00000169297.8",9.51818255697353,-4.81266109118445,0.610274425154947,3.40186613098922e-17,9.60739820918625e-16,"NR0B1",4.81266109118445
"ENSG00000071909.19",78.2762674319467,4.81018488056796,0.447464981071105,0.00142140917614757,0.00447046559948436,"MYO3B",4.81018488056796
"ENSG00000204195.4",2.80242053615557,4.8100101896817,0.658720773554319,0.00692074872582911,0.0180647636508619,"AWAT1",4.8100101896817
"ENSG00000277987.2",13.8414672148282,-4.80805586460216,0.498895116093972,4.86864561906349e-23,2.53660311007016e-21,"LINC02351",4.80805586460216
"ENSG00000196811.13",0.84252917458996,-4.80557009076274,0.483792389195716,0.0125320333432246,0.0302307889379943,"CHRNG",4.80557009076274
"ENSG00000261472.1",5.05752792441722,-4.80474710875091,0.605426005759827,1.9030824280952e-18,6.24045827256192e-17,"AC084064.1",4.80474710875091
"ENSG00000230316.7",9.08419590405766,4.80202595460476,0.646293636902646,1.2957553909119e-06,7.67527967077551e-06,"FEZF1-AS1",4.80202595460476
"ENSG00000132026.14",15.7657588062365,4.80135587123255,0.723596574590298,1.92741291672777e-12,2.90993424368692e-11,"RTBDN",4.80135587123255
"ENSG00000204866.8",63.1123000358472,4.80104082299545,0.442344539443907,8.37850417165675e-18,2.54163056277501e-16,"IGFL2",4.80104082299545
"ENSG00000251138.7",9.83353752529781,4.79628851349762,0.876270328236055,2.82054201215348e-09,2.63577492845819e-08,"LINC02882",4.79628851349762
"ENSG00000065325.13",95.0085309444794,-4.79490871062558,0.41137967849118,1.92507288517241e-32,2.95408450082472e-30,"GLP2R",4.79490871062558
"ENSG00000124743.6",1570.10766146958,-4.78848035631733,0.43574056531349,2.46449037932479e-29,2.59557748153874e-27,"KLHL31",4.78848035631733
"ENSG00000286301.1",1.28932379124562,-4.78428499717057,1.14765211604576,7.83447798555105e-07,4.82246369765571e-06,"AL662873.1",4.78428499717057
"ENSG00000239402.3",30.0057675370425,4.78368384781518,1.15080462524116,1.38785908244068e-06,8.16788856847933e-06,"CYP4F62P",4.78368384781518
"ENSG00000140465.14",69.9088570448955,-4.78122484619271,0.653505426038706,1.49719711395948e-14,2.98861236914554e-13,"CYP1A1",4.78122484619271
"ENSG00000186471.13",5.54933778209245,4.77294130128751,0.783554445004753,1.18142018690515e-07,8.43834738588763e-07,"AKAP14",4.77294130128751
"ENSG00000101203.16",7.32469316485557,4.77008100779245,0.648334315992906,9.94380002392743e-06,4.98446140283227e-05,"COL20A1",4.77008100779245
"ENSG00000130427.3",11.5170926506001,4.76852426230202,0.483962826692215,2.23804497553125e-06,1.27162530434752e-05,"EPO",4.76852426230202
"ENSG00000136574.18",30.2049875578476,4.76814545364687,0.763679983857494,2.28522908080581e-11,2.94530640453987e-10,"GATA4",4.76814545364687
"ENSG00000111713.3",2.27825744214928,-4.76782997228351,0.960343853579197,1.11493985995825e-08,9.41110817761065e-08,"GYS2",4.76782997228351
"ENSG00000171564.12",81.1395182807148,4.76701794251654,0.862172730462513,0.0093934133519929,0.023544366114955,"FGB",4.76701794251654
"ENSG00000255007.1",17.7938795393526,4.76661409640736,0.607543331465337,3.32521907625773e-16,8.27806756601449e-15,"LINC02489",4.76661409640736
"ENSG00000165474.8",1686.44280403103,4.76503685148221,0.34846955042448,9.67826678170277e-44,6.33668387087353e-41,"GJB2",4.76503685148221
"ENSG00000251273.4",4.37583850954548,4.76363766809288,0.753316329356622,0.00448980120636465,0.0123625912809203,"LINC02228",4.76363766809288
"ENSG00000152785.8",46.4256145922933,-4.76085210325982,0.50474306556963,1.07627594774414e-12,1.68057877773864e-11,"BMP3",4.76085210325982
"ENSG00000116690.13",860.983553165098,-4.74513919903595,0.48970460998327,8.77969335250223e-10,8.85270722945836e-09,"PRG4",4.74513919903595
"ENSG00000246430.7",233.560035161628,-4.74204260878392,0.41545676607852,2.29345763333362e-31,3.07495527876717e-29,"LINC00968",4.74204260878392
"ENSG00000248431.2",22.1130720819577,4.73549387154734,0.963302948259022,0.00151830554807287,0.00473975803802404,"AC021134.1",4.73549387154734
"ENSG00000129744.3",2.71417373086041,-4.72563687532747,0.637567388640098,9.42843424184526e-06,4.75098269313301e-05,"ART1",4.72563687532747
"ENSG00000183273.7",7.11521886610757,4.72335492816661,0.667305252430207,2.51238831023964e-06,1.41683408526348e-05,"CCDC60",4.72335492816661
"ENSG00000133317.16",1344.43112984458,-4.72090891269483,0.541643358656808,1.61370041784192e-19,5.88603595306423e-18,"LGALS12",4.72090891269483
"ENSG00000173432.12",17254.1721162966,-4.71863167414165,0.407460416825632,3.73066005268116e-32,5.44815053938761e-30,"SAA1",4.71863167414165
"ENSG00000278828.1",544.679198798403,4.71680724027113,0.463507768926612,1.61581885222317e-25,1.1097172690688e-23,"H3C10",4.71680724027113
"ENSG00000241151.1",2.9843772662425,-4.71309584536136,0.678955042358055,1.83404123440819e-17,5.37675192929039e-16,"LINC02066",4.71309584536136
"ENSG00000229108.2",146.239034869748,-4.71236211421076,0.340551618953565,9.57867051053792e-45,6.96830541362911e-42,"LINC02587",4.71236211421076
"ENSG00000188778.6",5.95736182621273,-4.70952089417956,0.528993258432745,3.58417836400488e-06,1.96429775183549e-05,"ADRB3",4.70952089417956
"ENSG00000248869.7",48.2129451820189,-4.70615550472172,0.357706169979892,1.89331074240461e-40,7.82913886364451e-38,"LINC02511",4.70615550472172
"ENSG00000019505.8",1656.52339055213,4.69793813657221,0.520168324537628,1.05381760112508e-20,4.39938051462248e-19,"SYT13",4.69793813657221
"ENSG00000187134.14",3089.13129991588,-4.69635962486484,0.391608752654729,2.24550517236214e-34,4.41062125955371e-32,"AKR1C1",4.69635962486484
"ENSG00000160349.10",2.70400067370759,4.68963487647756,0.860679077108189,1.0605870383153e-10,1.23705763697084e-09,"LCN1",4.68963487647756
"ENSG00000184601.11",298.373778171126,-4.68584275388865,0.665573883697439,1.01316574752003e-13,1.80914560116259e-12,"C14orf180",4.68584275388865
"ENSG00000250874.1",3.39796664804634,4.68384177877852,2.2756106078992,0.00322324190829167,0.00925327646341203,"AC010595.1",4.68384177877852
"ENSG00000180269.8",59.1381058982942,4.68321565115634,0.914078444503844,1.44866472958673e-08,1.19935395652444e-07,"GPR139",4.68321565115634
"ENSG00000134640.3",1.09825290290728,4.68136212087776,1.33638585282213,0.00438706423031842,0.012118798342158,"MTNR1B",4.68136212087776
"ENSG00000168497.5",3783.75790838753,-4.67682256467425,0.282618565475579,9.31019390862799e-63,3.32492415915038e-59,"CAVIN2",4.67682256467425
"ENSG00000168505.7",6.27703952087604,4.67354756222025,0.679464324573357,7.63087969925293e-14,1.38143538297443e-12,"GBX2",4.67354756222025
"ENSG00000122852.15",9.65396043722913,-4.67034709471148,1.02408076051591,8.71346299299889e-08,6.35654002259923e-07,"SFTPA1",4.67034709471148
"ENSG00000185915.5",3.30467800818486,-4.66713644287501,0.29890201273685,0.0194152885085326,0.0440567348526569,"KLHL34",4.66713644287501
"ENSG00000172156.4",56.127074493377,4.66264079415605,0.397798646736931,1.14562512019224e-32,1.80018948886528e-30,"CCL11",4.66264079415605
"ENSG00000218772.2",0.733430785074885,-4.66205545645256,0.788412290450653,0.000848397863181282,0.00282684153157027,"FAM8A6P",4.66205545645256
"ENSG00000286684.1",6.65737756154203,-4.65790648087265,0.59043225179958,3.50334216911728e-17,9.87268965363007e-16,"AL358976.1",4.65790648087265
"ENSG00000036473.8",7.23282948621388,-4.65206044343509,0.57246962777223,1.52348491419989e-17,4.51006641819355e-16,"OTC",4.65206044343509
"ENSG00000159251.8",21.8242712649267,-4.65010699014949,0.535996672284008,0.00101778140913233,0.00332246342665401,"ACTC1",4.65010699014949
"ENSG00000258387.1",3.92413563552666,4.64956332583808,0.808521806361352,4.94815979611759e-10,5.18356025148489e-09,"AL358913.1",4.64956332583808
"ENSG00000285564.2",2.3728971377628,-4.64694012972782,0.398568864410187,8.08609261502171e-07,4.96722536807682e-06,"AL031121.2",4.64694012972782
"ENSG00000142224.17",11.2058435332937,4.6430343198586,0.407130674102717,3.36688826063528e-14,6.42393361888955e-13,"IL19",4.6430343198586
"ENSG00000258871.1",1.51647281302087,-4.64096501625866,0.900169791100582,4.28901725530038e-11,5.31513419107951e-10,"AC004828.1",4.64096501625866
"ENSG00000189367.15",16.0215092318399,-4.64021640708673,0.556551150768885,2.06834381136778e-18,6.76543033187109e-17,"KIAA0408",4.64021640708673
"ENSG00000182021.10",2.55877344019688,-4.6375611532297,0.761295655305031,5.43930270386279e-14,1.00412390704204e-12,"AL591379.1",4.6375611532297
"ENSG00000197891.12",28.5469927189927,-4.6352241756376,0.709602540212642,4.76412138557484e-12,6.76867068755594e-11,"SLC22A12",4.6352241756376
"ENSG00000287900.1",117.053874151553,4.62833276052068,0.746948439680744,3.08896195058811e-11,3.91188849990017e-10,"AC061961.1",4.62833276052068
"ENSG00000057149.16",2.21096914676168,-4.62337207867674,1.11502053499529,3.63521465581922e-06,1.9892153856972e-05,"SERPINB3",4.62337207867674
"ENSG00000004799.8",18541.459194111,-4.62276692098953,0.32036522343763,2.06059402918653e-48,2.02370939606409e-45,"PDK4",4.62276692098953
"ENSG00000130294.17",530.826930236868,4.62099629343282,0.619506691114973,5.22857273276536e-15,1.11267200018393e-13,"KIF1A",4.62099629343282
"ENSG00000255021.1",15.9859269524995,-4.61829955830278,0.540908795546836,1.50699683030987e-18,5.02980998146924e-17,"AC093496.1",4.61829955830278
"ENSG00000285774.3",3.07116800538884,-4.61724142445481,0.48034228845989,3.39806056685248e-09,3.12020666903808e-08,"AL133444.1",4.61724142445481
"ENSG00000234586.2",1.98935286366945,4.61479250233182,0.938410920407042,1.17229166584717e-08,9.84023628229495e-08,"AL161449.1",4.61479250233182
"ENSG00000133055.9",10.5282936021718,-4.61389364523657,0.343152103260785,0.000244672143249309,0.000921632033311523,"MYBPH",4.61389364523657
"ENSG00000196132.14",123.463937246715,4.61105242202864,0.503761915093279,3.16657170464724e-21,1.40243069724196e-19,"MYT1",4.61105242202864
"ENSG00000136842.14",313.308319600981,-4.60206676808802,0.218544531618318,1.64536595018988e-49,1.95868351476543e-46,"TMOD1",4.60206676808802
"ENSG00000286625.1",5.26219421178031,-4.60013466406867,0.612027116869875,5.78509126140729e-17,1.58295174114759e-15,"AC113370.1",4.60013466406867
"ENSG00000196666.6",104.094427679192,-4.59824107922371,0.409584232183375,2.00655608219113e-30,2.44041947779555e-28,"FAM180B",4.59824107922371
"ENSG00000170369.4",78.9829598609765,4.59235880351035,0.469905128296655,8.31453330062092e-24,4.67279150474381e-22,"CST2",4.59235880351035
"ENSG00000226005.5",43.8842455263177,-4.59200351384417,0.393294262037852,1.1451636267925e-32,1.80018948886528e-30,"LINC02660",4.59200351384417
"ENSG00000277631.5",20.8003488665598,-4.58917348997952,0.348731328589746,1.84457352702951e-40,7.70874749317312e-38,"PGM5P3-AS1",4.58917348997952
"ENSG00000287952.1",40.4204298813938,4.58789018978245,0.614094410175802,5.54717100875119e-15,1.17601222832046e-13,"AC105328.1",4.58789018978245
"ENSG00000079435.10",10541.6566941676,-4.58624911143022,0.440614443834764,1.33988459769826e-26,1.05272053071957e-24,"LIPE",4.58624911143022
"ENSG00000144045.14",96.7967825887848,4.58071670884579,0.455730368540435,6.35997415640154e-25,4.07577854421008e-23,"DQX1",4.58071670884579
"ENSG00000236318.2",3.74541767908797,4.57893310733319,0.833505918452285,0.000102725810038922,0.000421460127579011,"AC019117.2",4.57893310733319
"ENSG00000250563.1",1.05064136881806,4.57161506506738,1.40936461046085,0.00468355375049785,0.0128215139745336,"KNOP1P5",4.57161506506738
"ENSG00000007314.12",575.624422573236,-4.56528542484106,0.340713986868644,2.40473064962648e-23,1.30120439173453e-21,"SCN4A",4.56528542484106
"ENSG00000079393.20",14.354154362039,-4.55360271245413,0.520817309180591,5.89874757805613e-08,4.42141575761032e-07,"DUSP13",4.55360271245413
"ENSG00000223458.2",2.68251784141134,-4.55129716691037,0.64999247662942,1.62069452956645e-18,5.38185662717569e-17,"LMO7DN-IT1",4.55129716691037
"ENSG00000259508.1",0.791038023784851,4.5503711648058,1.74818711287843,0.00690594083006911,0.018033300955094,"AL132801.1",4.5503711648058
"ENSG00000174403.16",4.08568846858859,-4.5392879054593,0.433192640573653,1.01167952361894e-07,7.31642459606896e-07,"MIR1-1HG-AS1",4.5392879054593
"ENSG00000157150.5",2266.49225635288,-4.53170707547419,0.489863658170576,1.31548265957095e-21,6.00202332155459e-20,"TIMP4",4.53170707547419
